Season,n,corr_JV,rankX,df_resid,condX,singularX,highCond,R2_A,AdjR2_A,Beta_J_A,Beta_V_A,SE_J_A,SE_V_A,P_J_A,P_V_A,R2_B,AdjR2_B,Beta_J_B,Beta_V_B,SE_J_B,SE_V_B,P_J_B,P_V_B
20,12,0.9867263288976944,3,9,12.234141449068808,False,False,0.9800411652375827,0.9756058686237121,-0.6836410609090208,-2.9414129155096638,1.059717686916837,1.0597176869168368,0.5349492046646396,0.02155324040435813,0.9767805293443913,0.9716206469764782,-2.089128976359135,-1.3334316424542032,1.079736414887006,1.079736414887006,0.08500864798053387,0.2481133232516035
21,10,0.9523941852513289,3,7,6.404035808452344,False,False,0.9609031335772842,0.9497326003136511,-1.0202190349997893,-1.7903991694135633,0.6950822939061742,0.695082293906174,0.18561002064435606,0.036695794218341904,0.9717235228264187,0.9636445293482526,0.049619364968920276,-2.878597906135003,0.598793188319861,0.598793188319861,0.93627822532076,0.001949718978012882
22,12,0.9487414710152948,3,9,6.165865463677837,False,False,0.978280934309913,0.9734544752676715,-0.0975115556294015,-3.3445132494973566,0.5401416622517305,0.5401416622517305,0.8607365266695455,0.00016041524931309503,0.9817465852086383,0.9776902708105579,0.4565311679201809,-3.850486887380626,0.49189002922792324,0.49189002922792324,0.37756655904609326,2.632268802793547e-05
23,13,0.9767238982287619,3,10,9.215478340399367,False,False,0.9426877681296608,0.931225321755593,-2.893470053070434,-0.7642148695070707,1.3244655199165025,1.3244655199165027,0.0538223236889519,0.5766982021567539,0.9456731967389509,0.9348078360867411,-2.732528150662814,-0.9221576092345629,1.2857098261884345,1.2857098261884348,0.05948964459458761,0.48964257536702305
24,12,0.9715052143196812,3,9,8.317949275207901,False,False,0.9517930854068365,0.9410804377194668,-1.5975736312803865,-1.7855131210518929,1.0631321832793874,1.0631321832793879,0.16716410628168799,0.1273625748196281,0.9664873884782205,0.9590401414733806,-1.4105151529085864,-2.006886035944217,0.8887479554582686,0.8887479554582689,0.1469563403790286,0.05033224934262903
25,11,0.9683986927170408,3,8,7.892307711468069,False,False,0.9740223273300171,0.9675279091625214,-1.9846096019381865,-1.1621497116888737,0.7231105418832215,0.7231105418832212,0.025271058640131017,0.1466876681815783,0.9864337324753124,0.9830421655941405,-2.902275050332279,-0.24564429335369065,0.5221269816981368,0.5221269816981365,0.0005355710438119665,0.6505802547025374
27,13,0.9490094284817653,3,10,6.182470178247733,False,False,0.8648805719195806,0.8378566863034966,-1.1577900306270874,-2.3617535108599323,1.3796566135417927,1.3796566135417931,0.42097261583350676,0.1177078896491901,0.8670392807258728,0.8404471368710473,-1.1771337000041475,-2.3471123275598824,1.3685913345921772,1.3685913345921776,0.40987715879205,0.11711425614367621
28,12,0.9658998863210159,3,9,7.592814423453667,False,False,0.9433472740596741,0.9307577794062684,-1.0792808052444807,-2.2022134532272117,1.0274784388593576,1.0274784388593576,0.32091246544102825,0.06069279398171168,0.9688436035197793,0.961919959857508,-0.4535495035768182,-2.957736987762306,0.784460607122249,0.784460607122249,0.5773293352342745,0.004413681584504614
29,15,0.9872850646494635,3,12,12.501813219834752,False,False,0.9407492528085045,0.9308741282765887,0.99307535196465,-5.249105737988136,1.9467950894811217,1.9467950894811217,0.6192280824838876,0.01944268124939552,0.9492634390402277,0.9408073455469323,1.3409812606803002,-5.527993821953418,1.7673237505048036,1.7673237505048038,0.46263758037222247,0.008725993699000512
30,15,0.8062593657537508,3,12,3.0533718503273835,False,False,0.8641790561921694,0.8415422322241977,-2.4406848764320483,-2.0539327819526294,0.8266671195907808,0.826667119590781,0.012089293844868676,0.028715248377362945,0.9479776784989888,0.9393072915821536,-1.1543700256135445,-3.220092246078879,0.48088055136380464,0.48088055136380475,0.03348603712324927,2.2080004920210783e-05
31,16,0.8861089996195171,3,13,4.069477857981353,False,False,0.9254690421905718,0.9140027409891213,-1.8588824843779013,-2.715856129837431,0.75523472865504,0.7552347286550403,0.028597312642586248,0.0032564155763885605,0.946423931855898,0.9381814598337285,-1.0990979384545727,-3.4816392733160457,0.6385061911960662,0.6385061911960663,0.10887977254745285,0.00011069299241217578
32,14,0.934219390464014,3,11,5.42255442550404,False,False,0.9609343850953163,0.9538315460217374,-2.9806384749849366,-1.1255265050754075,0.6906034041101097,0.6906034041101099,0.0012228308476764926,0.13142410199380383,0.9822777166025908,0.9790554832576073,-2.5003251979249863,-1.5585787010311751,0.4536160009275407,0.4536160009275408,0.00018290679491927975,0.0055648049642536
33,9,0.8886837546343483,3,6,4.119081146376482,False,False,0.8342960774185291,0.7790614365580387,-0.9296773000970211,-1.4119941143339394,0.904075356137611,0.9040753561376111,0.3434580703944379,0.16935781669044525,0.8333385272064057,0.7777847029418742,-0.15282161076895007,-2.220178057033816,0.938506869598904,0.9385068695989041,0.8759943660786651,0.05585148521241523
34,12,0.9662367545377187,3,9,7.6312522959357745,False,False,0.881200425508915,0.8548005200664517,-1.5299649697442759,-1.6601465476221886,1.5025323186219823,1.5025323186219823,0.33514591789400194,0.2978646253657453,0.8874385682556527,0.8624249167569089,-1.4050839171215763,-1.874112032931775,1.498341978557458,1.4983419785574583,0.3728497283298553,0.2425488373580975
