Season,Variable,Rhat_max,ESS_bulk_min,Rhat_ok,ESS_ok
7,logV_w9,1.3413015281152103,5.374779072406572,False,False
7,sigma,1.9371929900846827,2.8710805750111694,False,False
8,beta0,2.253639392907926,2.5834177822074174,False,False
8,beta1,2.096199232104372,2.7667644555690027,False,False
8,logV_w2,1.1807434585983798,10.150916390713975,False,False
8,logV_w3,1.278225407867173,5.929206809806984,False,False
8,logV_w5,1.2359570505866588,7.53825120211804,False,False
8,logV_w6,1.5182940636254236,3.884824748169664,False,False
8,logV_w7,1.4724884179475268,4.276793316775766,False,False
8,logV_w8,1.3554123716782658,5.582131156909894,False,False
8,logV_w9,1.34507161953672,4.939226599251162,False,False
8,logV_w10,1.7887334571672362,3.118879646423808,False,False
8,sigma,2.1340571617725095,2.690747312913786,False,False
9,beta0,1.960948292995095,2.837290761843947,False,False
9,beta1,2.3601563397582064,2.5368457728040794,False,False
9,logV_w2,1.3392744976541122,5.183954178504161,False,False
9,logV_w3,1.4014064529737873,4.538598073520874,False,False
9,logV_w4,1.340665449272279,5.541679478447038,False,False
9,logV_w5,1.3259005514985578,5.1422990999631475,False,False
9,logV_w8,1.2789600276300699,5.5884875846189965,False,False
9,logV_w9,1.4040636150949213,4.6135938872470055,False,False
9,sigma,2.1867225319656822,2.628219256652978,False,False
10,beta0,2.1711378992623183,2.704010830446,False,False
10,beta1,2.0417832567436838,2.785504091442148,False,False
10,logV_w2,1.4463820725477181,9.44412651198668,False,False
10,logV_w3,1.4106539095412103,5.048028577651047,False,False
10,logV_w4,1.565347192248422,6.638758952301879,False,False
10,logV_w5,1.422632944823723,8.194065146986816,False,False
10,logV_w6,1.562118997573592,4.8106685227037795,False,False
10,logV_w7,1.395258203612427,7.166067834721767,False,False
10,logV_w8,1.7879160100906335,3.1391449443415373,False,False
10,logV_w9,1.5272138681166352,5.179457917215178,False,False
10,sigma,2.166326330884791,2.682086493059995,False,False
